     10.00000000      0.04167898
     20.00000000      0.03282321
     30.00000000     -0.08954605
     40.00000000     -0.15011080
     50.00000000     -0.22248887
     60.00000000     -0.30398964
     70.00000000     -0.39452751
     80.00000000     -0.49102295
     90.00000000     -0.59486002
    100.00000000     -0.70436121
    110.00000000     -0.81807158
    120.00000000     -0.93658901
    130.00000000     -1.05901238
    140.00000000     -1.18456545
    150.00000000     -1.31374201
    160.00000000     -1.44531428
    170.00000000     -1.57863969
    180.00000000     -1.71633818
    190.00000000     -1.85383060
    200.00000000     -1.99530954
    210.00000000     -2.13675078
    220.00000000     -2.28026546
    230.00000000     -2.42615187
    240.00000000     -2.57203417
    250.00000000     -2.72022481
    260.00000000     -2.86817761
    270.00000000     -3.01797316
    280.00000000     -3.16954732
    290.00000000     -3.32135457
    300.00000000     -3.47342301
    310.00000000     -3.62798904
    320.00000000     -3.78264060
    330.00000000     -3.93689098
    340.00000000     -4.09200127
    350.00000000     -4.24921440
    360.00000000     -4.40632435
    370.00000000     -4.56375914
    380.00000000     -4.72054007
    390.00000000     -4.87900263
    400.00000000     -5.03777164
    410.00000000     -5.19638361
    420.00000000     -5.35856815
    430.00000000     -5.51645624
    440.00000000     -5.67677683
    450.00000000     -5.83872841
    460.00000000     -5.99968193
    470.00000000     -6.16018693
    480.00000000     -6.32230653
    490.00000000     -6.48457152
    500.00000000     -6.64834513
    510.00000000     -6.80901117
    520.00000000     -6.97254723
    530.00000000     -7.13480665
    540.00000000     -7.29925387
    550.00000000     -7.46217698
    560.00000000     -7.62640491
    570.00000000     -7.79027847
    580.00000000     -7.95358724
    590.00000000     -8.11728969
    600.00000000     -8.27980893
    610.00000000     -8.44296261
    620.00000000     -8.60687864
    630.00000000     -8.76959349
    640.00000000     -8.93224842
    650.00000000     -9.09508873
    660.00000000     -9.26073264
    670.00000000     -9.42417732
    680.00000000     -9.58542452
    690.00000000     -9.75117513
    700.00000000     -9.91396341
    710.00000000    -10.07868975
    720.00000000    -10.24231013
    730.00000000    -10.40480490
    740.00000000    -10.56906066
    750.00000000    -10.73322914
    760.00000000    -10.89790442
    770.00000000    -11.06042563
    780.00000000    -11.22514042
    790.00000000    -11.38824677
    800.00000000    -11.55385018
    810.00000000    -11.71808555
    820.00000000    -11.87991248
    830.00000000    -12.04450567
    840.00000000    -12.20922618
    850.00000000    -12.37305789
    860.00000000    -12.53763666
    870.00000000    -12.70210290
    880.00000000    -12.86752108
    890.00000000    -13.03201125
    900.00000000    -13.19553925
    910.00000000    -13.36267427
    920.00000000    -13.52718311
    930.00000000    -13.68863562
    940.00000000    -13.85389776
    950.00000000    -14.01882673
    960.00000000    -14.18540983
    970.00000000    -14.34896756
    980.00000000    -14.51483213
    990.00000000    -14.67899328
   1000.00000000    -14.84499999
