     -0.65000001      1.14806728      1.01136465      0.89020136      0.79174394      0.72529888      0.70004177      0.72031833      0.78259729      0.87798550      0.99702486      1.13228027      1.27861591
     -0.64000001      1.14531108      1.00823483      0.88664393      0.78774200      0.72092820      0.69551239      0.71591724      0.77854834      0.87437838      0.99384988      1.12948555      1.27614171
     -0.63000001      1.14259112      1.00514400      0.88312766      0.78378215      0.71659924      0.69102423      0.71155780      0.77454149      0.87081258      0.99071418      1.12672739      1.27370116
     -0.62000001      1.13990766      1.00209254      0.87965303      0.77986503      0.71231276      0.68657809      0.70724076      0.77057739      0.86728862      0.98761813      1.12400606      1.27129448
     -0.61000001      1.13726095      0.99908081      0.87622056      0.77599128      0.70806954      0.68217482      0.70296692      0.76665671      0.86380701      0.98456212      1.12132182      1.26892185
     -0.60000001      1.13465126      0.99610916      0.87283072      0.77216155      0.70387035      0.67781523      0.69873707      0.76278012      0.86036826      0.98154652      1.11867494      1.26658346
     -0.59000001      1.13207883      0.99317796      0.86948402      0.76837651      0.69971599      0.67350017      0.69455201      0.75894830      0.85697290      0.97857170      1.11606569      1.26427950
     -0.58000001      1.12954392      0.99028757      0.86618096      0.76463682      0.69560727      0.66923051      0.69041256      0.75516192      0.85362143      0.97563804      1.11349433      1.26201017
     -0.57000001      1.12704679      0.98743834      0.86292205      0.76094314      0.69154499      0.66500713      0.68631953      0.75142167      0.85031438      0.97274590      1.11096112      1.25977564
     -0.56000001      1.12458769      0.98463062      0.85970778      0.75729615      0.68752998      0.66083090      0.68227377      0.74772824      0.84705227      0.96989565      1.10846633      1.25757610
     -0.55000001      1.12216687      0.98186479      0.85653865      0.75369653      0.68356307      0.65670273      0.67827612      0.74408233      0.84383562      0.96708768      1.10601022      1.25541175
     -0.54000001      1.11978457      0.97914119      0.85341518      0.75014496      0.67964511      0.65262354      0.67432744      0.74048465      0.84066494      0.96432234      1.10359305      1.25328275
     -0.53000001      1.11744104      0.97646017      0.85033785      0.74664213      0.67577694      0.64859424      0.67042859      0.73693590      0.83754077      0.96160001      1.10121506      1.25118930
     -0.52000001      1.11513653      0.97382209      0.84730718      0.74318871      0.67195943      0.64461576      0.66658045      0.73343679      0.83446363      0.95892105      1.09887652      1.24913156
     -0.51000001      1.11287128      0.97122730      0.84432367      0.73978542      0.66819344      0.64068907      0.66278390      0.72998803      0.83143403      0.95628583      1.09657768      1.24710972
     -0.50000001      1.11064552      0.96867614      0.84138782      0.73643293      0.66447985      0.63681511      0.65903983      0.72659034      0.82845250      0.95369470      1.09431879      1.24512395
     -0.49000001      1.10845951      0.96616896      0.83850013      0.73313196      0.66081955      0.63299485      0.65534914      0.72324444      0.82551956      0.95114803      1.09210009      1.24317443
     -0.48000001      1.10631346      0.96370611      0.83566109      0.72988319      0.65721341      0.62922928      0.65171274      0.71995105      0.82263573      0.94864618      1.08992184      1.24126132
